id,tweet,label
72,ADD THE CYBERTUCK BY TESLA.    #Cybertruck,cybertruck
73,They were in a work truck set up for snow clearing.  Future #Cybertruck owner maybe?,cybertruck
74,"Social listening found that there were more than 600,000 Tweets that mentioned @elonmusk's #Cybertruck since last Friday morning. via @mashable https://bit.ly/2qbYcuWÂ ",cybertruck
75,I see a sad former F150 owner tearfully looking into the bed of his #cybertruck. Paralyzed with grief as there is no possible way to put things in another location or enter the truck bed in any way.  pic.twitter.com/A7pF1D60wI,cybertruck
76,New Iranian ZeroCleare Data Wiper Malware Used in Targeted Attacks  https://www.bleepingcomputer.com/news/security/new-iranian-zerocleare-data-wiper-malware-used-in-targeted-attacks/Â â€¦ #ThreatHunting #ThreatIntel #RedTeam #blueteam #Crypto #Infosec #malware #pentesting #IoT #Hacking #Hacker #Pentest #Cybertruck #Cybercrimen #Intelligence,cybertruck
77,"@evtv is the Gold Standard in #Cybertruck analysis, from a technical standpoint â€”- this guyâ€™s speaking w/ deep familiarity about the intimacies of ALON (Aluminium oxynitride) covalent bonds and free electrons ... WITH wry humor ðŸ˜ðŸ‘ðŸ½",cybertruck
78,"Gotta love â€œownershipâ€ comparisons #Cybertruck vs. Ford F-150 being pumped by Teslarati/Electrek/InsideEVs/Cleantechnica when:

Cybertruck doesnâ€™t exist .. 3yrs out

Bunch of nincompoops",cybertruck
79,"Ultimateâ€™ #MiTM #Attack Steals $1M from #Israeli Startup'  https://bit.ly/2Rlo6rmÂ 
#ThreatHunting #ThreatIntel #RedTeam #blueteam #Crypto #Infosec #malware #pentesting #IoT #cybersecurity #Cybertruck #Hacktoberfest #hacking #Hacker",cybertruck
80,Seems like the #cybertruck sails are in the way from reaching into the truck bed and getting the tools you should have put into the sails. $TSLA #Tesla pic.twitter.com/gh3KwQi1tn,cybertruck
81,I'd take an electric Gladiator over a #Cybertruck.,cybertruck
82,Tesla #Cybertruck Bir MÃ¼hendislik HarikasÄ± OlduÄŸunu GÃ¶sterdi  https://arabahaber.com.tr/tesla-cybertruck-bir-muhendislik-harikasi-oldugunu-gosterdiÂ â€¦,cybertruck
83,"Tesla's new Cybertruck low-poly look might not be for everyone, but maybe that's a good thing...

Writer @ctrlzee gives us an alternative perspective ðŸ‘‰  http://cur.at/2dARTx7?m=webÂ 
#design #Cybertruck #Tesla #designtwitter pic.twitter.com/3N40GFBah5",cybertruck
84,"In this Buffer Overflow Podcast, Host, Chris Hayner & Project Mgr, Kim DeFilippi & Resource Coord, Brenda Heisler discuss #Tesla #CyberTruck, the worldâ€™s largest gun,
Internet via Weather-Balloon, Gamma Ray Bursts + System Vision Design's new projector â˜ž  http://bit.ly/33rxbRPÂ ",cybertruck
85,"Cybertruck is too weird for your everyday? We have a solution... Stay tunedðŸŒ¼ â€“ #cybersimple
@elonmusk #teslamotors #cybertruck #howiseedatworld pic.twitter.com/9mZUuta7RU",cybertruck
86,Yo @elonmusk .... pretty please to match my #Cybertruck ? you can even leave the window broken I wonâ€™t care  pic.twitter.com/1NpbP8tqjs,cybertruck
87,"Damnnnn @LEGO_Group serving that @Tesla burn ðŸ˜‚ðŸ”¥ ðŸ™Š
#cybertruck #guaranteedshatterproof #roasted pic.twitter.com/J2kkX3r6AO",cybertruck
88,"Officer Burnett needs a #Tesla #CyberTruck . 
#SanDiego",cybertruck
89,For all my @Ford or ordered a #Cybertruck @elonmuskðŸ¤£....the @ChevyTrucks brake recall is real!  Iâ€™m still loyal to Chevy...they are ðŸ’° for the tow! pic.twitter.com/nU2Ycuvjok,cybertruck
90,@elonmusk @Tesla is the Design of the #Cybertruck inspired from Grand theft Auto San Andreas ?  pic.twitter.com/CU1LqSsPmp,cybertruck
91,"@JeremyClarkson @MrJamesMay @RichardHammond did it before you @elonmusk
#Cybertruck  pic.twitter.com/yT2xbtR2vj",cybertruck
92,"Not mine, as seen  on LinkedIn. I've long thought that small SUVs were ubiquitous, but not to this extent. Take color and the wheels out of it and they're hard to identify from one another. You may not like the  #Cybertruck but at least  the @Tesla design team aren't lemmings. pic.twitter.com/JvU5yVGG7h",cybertruck
93,Thanks god #Cybertruck is not the ugliest truck anymore  https://twitter.com/VW/status/1197519655977525248Â â€¦,cybertruck
94," http://quickhoney.com/#vectorÂ 
#quickhoney #illustrators #GraphicDesign #tesla #WednesdayWisdom #pixel #lol #memes #funny #shortfilms #Cybertruck #pixelartist #ThursdayThoughts #ThursdayMorning #artfilm #cartoon #time #trippy #psycadelic #8bit #digitalart #joker #ElonMusk
@Tesla #santa pic.twitter.com/rMWFGocLPj",cybertruck
95,"Most complete analysis yet simple enough for a quick overview of the #Tesla #Cybertruck design. We'll see how everyone feels about its look, performance and lean manufacturing in 2 years.  https://twitter.com/UndecidedMF/status/1201939248510844928Â â€¦",cybertruck
96,"$NIO ðŸŒ„ðŸŒ„ðŸŒ„ðŸŒ„ðŸŒ„ðŸ‡¨ðŸ‡³ðŸ‡¨ðŸ‡³ðŸ‡¨ðŸ‡³ðŸ‡¨ðŸ‡³

The #EV #Cybertruck $tsla
#Tesla competition in #China
ðŸ‘½ðŸ‘½ðŸ‘½ðŸ›¸ðŸ›¸ðŸ¤–ðŸ¤–ðŸ¤–ðŸ¤–ðŸ¤–
#TrumpImpeachment #TradeWar #TradeDeal #OptionsTrading https://twitter.com/business/status/1202417560727277569Â â€¦",cybertruck
97,"Updates to my #cybertruck, can we get the #bladerunner car next .@elonmusk ?     #b3d #eevee pic.twitter.com/fqkPqeiKcF",cybertruck
98,"It's great that the #Cybertruck is still drawing so much attention!!! ðŸ˜‚ðŸ˜…ðŸ¤£
#Tesla pic.twitter.com/EfDSLUEAAN",cybertruck
99,"Hatt Ja Tau!
Hamara CyberTruck Aa Raha Hein - ""Indian Truck Drivers in 2021"" ðŸ˜ @Tesla @elonmusk 

Indian Truck Art inspired #Tesla #CyberTruck livery by #CARS24 #TeslaCyberTruck pic.twitter.com/Sw0nNDGlYm",cybertruck
100,"Why wait for the real #Cybertruck when you can build it on your own! So, 3 days of work and 3000 pieces were spent on this thing.
 Hey, @elonmusk , what do you think?

 https://youtu.be/-Xnsixy2IfEÂ  pic.twitter.com/potASg1WBV",cybertruck
101,I see the inspiration #Telsa. The #Cybertruck is giving that nostalgic vibe. I appreciate Futuristic cars even if they wasn't on the assembly line. Long live the 80's & 90's. @elonmusk I see... pic.twitter.com/Fh0M3eGXVg,cybertruck
102,@elonmusk Can I get this stuff in my #CyberTruck ? https://www.sciencealert.com/physicists-identify-a-metal-that-conducts-electricity-but-not-heat?fbclid=IwAR3eWwqkUSB1h8F9ZLqPM_osMmUf4LNPXgb483JaMeCPURjIRL_bUTI-I6AÂ â€¦ @flcnhvy @28delayslater @AlterViggo,cybertruck
103,#Cybertruck  pic.twitter.com/meLlyeD5EG,cybertruck
104,If I dont cop a cybertruck before I die just know I wasn't successful #Cybertruck #goals,cybertruck
105,#ElonMusk #Cybertruck Are we ready for the #cyberskeleton ? No idea what itâ€™ll do but it just sounds so #muskesque Any ideas? pic.twitter.com/70oI2EQewr,cybertruck
106,#Cybertruck  pic.twitter.com/F3fRkmGTDa,cybertruck
107,"Sorry, @ElonMusk, but my trucks have to be Texas-compatible, no matter how many jigawatts will send the #Cybertruckâ€™s flux capacitor back to 1955, 1985, or 2015. But please keep thinking big.  pic.twitter.com/zq3kFE9Fjc",cybertruck
108,I just got the Cyberhelmet! ðŸ¤˜ðŸ»#ElonMusk #Cybertruck @tesla #TSLA @vincent13031925 #rideicon @IconMotosports pic.twitter.com/zDAA53rurR,cybertruck
109,"With solar, #Cybertruck owners can realize up to $20,000 in gas savings
 https://www.tesla.com/solarroofÂ ",cybertruck
110,I think I might have to add this to my Lego collection. Cybertruck Lego set designed by Tesla fan could actually be made #lego #Tesla #cybertruck  https://www.designboom.com/design/tesla-cybertruck-lego-set-ideas-design-12-05-2019/Â â€¦,cybertruck
111,"#Cybertruck = dominant
Pickup = submissive  pic.twitter.com/0Ipyhyjbnl",cybertruck
112,Tesla Cybertruck - CSS3 Animation  https://youtu.be/Bvb1ztDEwYUÂ  #ccs3 #animation #cybertruck #tesla,cybertruck
113,"Elon Musk explains why the #Cybertruck's #windows broke...

 https://edition.cnn.com/2019/11/25/cars/elon-musk-tesla-cybertruck-window-glass-broke/index.htmlÂ â€¦ pic.twitter.com/rNmjfxC9ih",cybertruck
114,Beep beep Cybertruck fresh off the printers and yes it does roll :D though get yours at  http://www.habws.comÂ  #tesla #cybertruck #carmodels #toytrucks #toy #toycar pic.twitter.com/tS6T3vInRB,cybertruck
115,@elonmusk Can I get this stuff in my #Cybertruck ?  https://www.sciencealert.com/physicists-identify-a-metal-that-conducts-electricity-but-not-heat?fbclid=IwAR3eWwqkUSB1h8F9ZLqPM_osMmUf4LNPXgb483JaMeCPURjIRL_bUTI-I6AÂ â€¦,cybertruck
116,"DÃ©couvrez les sociÃ©tÃ©s franÃ§aises qui parlent de @tesla
 https://www.facebook.com/permalink.php?story_fbid=135309824556783&id=101406337947132Â â€¦
#MarketingDigital #communication #reseauxsociaux #tesla #Cybertruck  pic.twitter.com/4GGmW2xTyS",cybertruck
117,Is that the new #Cybertruck?,cybertruck
118,Excellent for electric towed trailers.  #cybertruck Increases safety also. @elonmusk @Tesla https://youtu.be/dm-Euo4yS6MÂ ,cybertruck
119,The #Cybertruck is our only hope,cybertruck
120,Thank you @elonmusk for the #Cybertruck test !ðŸ¤£  pic.twitter.com/XzTvcqaFyg,cybertruck
121,"Thursdays are for throwbacks so here is one from the show and tell session we had on Friday with mind-blowing presentations from our tech team featuring Elon Musk and his cyber truck as well as some other in-house projects.

#Energy360Africa #showandtell #cybertruck #elonmusk pic.twitter.com/NwlhOcvMtW",cybertruck
122,"Review of an aerodynamic trailer. @elonmusk @Tesla  not much saving, because drag is mostly at the rear. #cybertruck  https://youtu.be/vqDpU9vja9sÂ ",cybertruck
123,#Tesla #Cybertruck To Fit Full 4x8 Plywood Sheet With Tailgate Stop  http://bit.ly/2YiWLrfÂ  #TechJunkieNews pic.twitter.com/CxLq82S6z1,cybertruck
124,@elonmusk @Tesla #cybertruck Looking forward to Cybertruck (RHD) in South Africa...Soon please :),cybertruck
125,"âš¡ï¸Combat vet & activist @PaulRieckhoff takes us through the life of @HarrySmith & into the latest news headlines with independence, speed & humor. From Trumpâ€™s crazy trip to NATO, to the candidates dropping out of the 2020 race, to the new #Cybertruck:  http://www.AngryAmericans.usÂ .ðŸ‡ºðŸ‡¸ pic.twitter.com/NfcSILo5dq",cybertruck
126,"Von #Rivian, Ã¼ber #Tesla bis #Ford: Immer mehr elektrische #Pickups vor Marktstart - #Cybertruck #F150  https://buff.ly/33WcQEFÂ  pic.twitter.com/PCsc8Nuddl",cybertruck
127,"I havent seen anyone talk about this so Iâ€™m going to bring it up. The base #Cybertruck is estimated to have a range of 250+ miles and 7,500+ lb towing capacity. Iâ€™m assuming you CANNOT tow 7,500+ lbs for 250+ miles. The question is, how much does towing impact range?",cybertruck
128,I'm gonna buy @tesla #Cybertruck and will slap a 3.5L V6 @ford #F150raptor engine in it... Lmao @elonmusk,cybertruck
129,"ðŸ˜œðŸ¤Ÿ
.
.
.
.
#Cybertruck #Cyberpunk #Cyberpunk2077 #game #gaming #igre #igra #igranje #konzola #PC #console #consolegaming #PCGaming #games #Tehix #TehixHR #TehixAdria #TehixAdriaGroup #TehixNews #TehixReport #followâ€¦  https://www.instagram.com/p/B5sKDnFBkCO/?igshid=1jugzilm0huhoÂ â€¦",cybertruck
130,#Cybertruck 3D CAD Model for CFD Study. Free download on #FetchCFD. Here is the link:  https://fetchcfd.com/view-project/1570Â â€¦ #3dmodel #CAD #CFD #Simulation #Aerodynamics #rendering #Engineering #teslatruck #TeslaCyberTruck #Tesla #teslapickuptruck pic.twitter.com/WWXsYJzUbz,cybertruck
131,@Tesla think we found #Cybertruck's old High School picture.  https://twitter.com/ToyotaMotorCorp/status/1202543505442328576Â â€¦,cybertruck
132,"Basic Tesla Cybertruck - why not?
#cybertruck #cybertruckmemes pic.twitter.com/qrhj8a6ep6",cybertruck
133,TCO square off: @Tesla #CyberTruck vs @ford F-150 $tsla #tsla https://twitter.com/Teslarati/status/1202203459417718785Â â€¦,cybertruck
134,Tesla Cybertruck will join Dubai Police Force by 2020  https://morningtick.com/2019/12/05/tesla-cybertruck-join-dubai-police/Â â€¦ via @MorningTick #Tesla #Cybertruck #Dubai #Police,cybertruck
135,"The Cybertruck certainly has road presence, but does it stick out too much like a sore thumb when compared to ANYTHING else on the road? ðŸ¤”ðŸš—
#Cybertruck #QuestionTime pic.twitter.com/yLy5zulDus",cybertruck
136,"#cybertruck, design modifannya udah banyak beredar  http://1cak.com/2637164Â ",cybertruck
137,Aero tarp to improve aerodynamic of cargo. Can be used for trailers. Useful for #cybertruck @elonmusk @Tesla @Teslarati @TeslaMotorsClub @TeslaRoadTrip @TeslaClubBE https://youtu.be/SbfWIEPHYYAÂ ,cybertruck
138,"For your 3D modelling and rendering needs, this guy is the best, check out this gig on fiverr  https://www.fiverr.com/share/2K6BaVÂ 
#3Dprinting #3Danimation #3dmodeling #3D #product #electronic #render #rendering #videoproduction #Fiverr #FiverrGig #tesla #Cybertruck  pic.twitter.com/cUCOaQ3Gg0",cybertruck
139,"Oh lord....

#Protogen #CyberTruck #Furry #HelpMe pic.twitter.com/LzlOU2ITb7",cybertruck
140,Die Antwort auf den #cybertruck - das Teil schieÃŸt mit Stahlkugeln,cybertruck
141,"Thank you @elonmusk  for not giving up on humanity. I would have!.
#tesla #Cybertruck #CYBRTRK  https://mashable.com/article/elon-musk-pedo-guy-defamation-trial-3-hour-testimony.amp/?europe=trueÂ â€¦",cybertruck
